time	                CAC40
21/01/1991 01:00	1553.32
22/01/1991 01:00	1546.59
23/01/1991 01:00	1524.69
24/01/1991 01:00	1551.35
25/01/1991 01:00	1562.32
28/01/1991 01:00	1565.68
29/01/1991 01:00	1554.48
30/01/1991 01:00	1582.44
31/01/1991 01:00	1580.67
01/02/1991 01:00	1578.07
04/02/1991 01:00	1581.72
05/02/1991 01:00	1606.38
06/02/1991 01:00	1598.1
07/02/1991 01:00	1598.22
08/02/1991 01:00	1622.75
11/02/1991 01:00	1637.29
12/02/1991 01:00	1626.23
13/02/1991 01:00	1635.83
14/02/1991 01:00	1649.62
15/02/1991 01:00	1670.39
18/02/1991 01:00	1694.95
19/02/1991 01:00	1700.93
20/02/1991 01:00	1693.06
21/02/1991 01:00	1709.71
22/02/1991 01:00	1716.88
25/02/1991 01:00	1745.17
26/02/1991 01:00	1712.31
27/02/1991 01:00	1731.02
28/02/1991 01:00	1759.79
01/03/1991 01:00	1746.79
04/03/1991 01:00	1766.73
05/03/1991 01:00	1800.63
06/03/1991 01:00	1821.01
07/03/1991 01:00	1831.84
08/03/1991 01:00	1828.14
11/03/1991 01:00	1795.36
12/03/1991 01:00	1795.47
13/03/1991 01:00	1781.17
14/03/1991 01:00	1816.81
15/03/1991 01:00	1800.48
18/03/1991 01:00	1777.91
19/03/1991 01:00	1740.96
20/03/1991 01:00	1752.21
21/03/1991 01:00	1771.31
22/03/1991 01:00	1772
25/03/1991 01:00	1773.55
26/03/1991 01:00	1775.08
27/03/1991 01:00	1797.06
28/03/1991 01:00	1816.35
02/04/1991 02:00	1827.09
03/04/1991 02:00	1851
04/04/1991 02:00	1836.2
05/04/1991 02:00	1851.7
08/04/1991 02:00	1847.57
09/04/1991 02:00	1845
10/04/1991 02:00	1816
11/04/1991 02:00	1825.59
12/04/1991 02:00	1821.43
15/04/1991 02:00	1822.34
16/04/1991 02:00	1802.91
17/04/1991 02:00	1829
18/04/1991 02:00	1815.73
19/04/1991 02:00	1791.11
22/04/1991 02:00	1767.19
23/04/1991 02:00	1778.31
24/04/1991 02:00	1782.03
25/04/1991 02:00	1777.01
26/04/1991 02:00	1774
29/04/1991 02:00	1797.34
30/04/1991 02:00	1779.18
02/05/1991 02:00	1824.22
03/05/1991 02:00	1832.31
06/05/1991 02:00	1828.77
07/05/1991 02:00	1830.18
10/05/1991 02:00	1850.27
13/05/1991 02:00	1834
14/05/1991 02:00	1805.56
15/05/1991 02:00	1802.63
16/05/1991 02:00	1826.31
17/05/1991 02:00	1826.95
21/05/1991 02:00	1833.08
22/05/1991 02:00	1831.13
23/05/1991 02:00	1817.2
24/05/1991 02:00	1813.71
27/05/1991 02:00	1801.52
28/05/1991 02:00	1807.81
29/05/1991 02:00	1825.16
30/05/1991 02:00	1837.08
31/05/1991 02:00	1861.78
03/06/1991 02:00	1865.66
04/06/1991 02:00	1851.29
05/06/1991 02:00	1862.92
06/06/1991 02:00	1863
07/06/1991 02:00	1852.51
10/06/1991 02:00	1846.25
11/06/1991 02:00	1874.81
12/06/1991 02:00	1849
13/06/1991 02:00	1847
14/06/1991 02:00	1858.17
17/06/1991 02:00	1844.84
18/06/1991 02:00	1830.63
19/06/1991 02:00	1798.18
20/06/1991 02:00	1793.65
21/06/1991 02:00	1806.63
24/06/1991 02:00	1775.63
25/06/1991 02:00	1775.53
26/06/1991 02:00	1767.86
27/06/1991 02:00	1767
